Item ID,Price
1 X I7 Glass,0.30 
1 x I8 Black Zinc,0.35 
1 X I8 Glass,0.30 
1 x I8 Plus Black Zinc,0.35 
1 X I8 Plus Glass,0.29 
1 x IP 10 Black Zinc,0.35 
1 x IP Xs Glass Red,0.34 
1 x IP Xs Glass RGold,0.34 
1 X IP Xs Max Glass,0.30 
1 X J32018 Glass,0.30 
1 X LgStylo3 Glass,0.35 
1 X LgStylo3 Glass1,0.35 
1 x MotoG6 Play Glass,0.35 
1 X MotoZ2 Play Glass,0.35 
1 X MotoZ2 Play Glass1,0.35 
1 X Note 9 Glass,0.40 
1 X Note8 Glass,0.40 
1 X s7 edge Glass,0.40 
1 X S8 Glass,0.40 
1 X S8 Plus Glass,0.40 
1 X S9 Glass,0.40 
1 X S9 Plus Glass,0.40 
1 X ZTE MAX XL glass,0.35 
1 X zte z982 glass,0.35 
1x galaxy s8 Glass,0.40 
1x galaxy s9 Plus Glass,0.40 
1X I7 Glass,0.29 
1x IP Xs Black Glass,0.34 
1x IP Xs Glass Gold,0.34 
1x IP Xs white Glass,0.34 
1x J32017 Glass,0.30 
1x J32017 Glass1,0.30 
1x J32017 Glass3,0.30 
1x J32017 Glass4,0.30 
1x J32017 Glass5,0.30 
1X J32018 Glass2,0.30 
1X J32018 Glass4,0.30 
1X J32018 Glass7,0.30 
1x J72018 Glass,0.34 
1x J72018 Glass 1,0.34 
1x J72018 Glass 2,0.34 
1x J7207 Glass,0.30 
1x J7207 Glass1,0.30 
1x J7207 Glass2,0.30 
1x J7207 Glass3,0.30 
1x J7207 Glass4,0.30 
1x J7207 Glass5,0.30 
1x J7207 Glass6,0.30 
1x J7207 Glass7,0.30 
1X LG Stylo 4 Clear Glass,0.30 
1X LG Stylo 4 Clear Glass1,0.30 
1X LgK20 Glass,0.35 
1X LgK20 Glass1,0.35 
1X LgK20 Glass3,0.35 
1X LGQ7 Glass (2pcs),0.40 
1X LGQ7 Glass (2pcs)1,0.40 
1X LGQ7 Glass 1,0.35 
1X LGXPower2 Glass,0.35 
1X MotoE4 Glass,0.34 
1X MotoE4 Plus Glass,0.34 
1x MotoE5 Play Glass,0.30 
1x MotoE5 Play Glass1,0.30 
1x Note 8 Glass,0.40 
1x Note 9 Glass,0.40 
1X Revvl Glass,0.35 
1x S9 Glass,0.40 
1x S9 Plus Glass,0.40 
1X ZteMaven3 Glass,0.35 
2 x I7 Plus Black Zinc,0.49 
2 X I7 Plus Glass,0.40 
2 X I8 Glass,0.40 
2 x I8 Plus Black Zinc,0.49 
2 X I8 Plus Glass,0.40 
2 x IP 10 Black Zinc,0.49 
2 X IP X Glass,0.31 
2 x IP X Glass Black,0.50 
2 x IP X Glass Gold,0.50 
2 x IP X Glass RGold,0.50 
2 x IP X Glass White,0.50 
2 X IP Xr Glass,0.35 
2 X IP Xs Glass,0.35 
2 X IP Xs Max Glass,0.35 
2 x LG V30 Glass,0.60 
2 x LG V30 Glass1,0.60 
2 x LG V30 Glass2,0.60 
2 x LG V30 Glass3,0.60 
2 X LgStylo3 Glass,0.49 
2 X LgStylo3 Glass1,0.49 
2 x MotoG6 Play Glass,0.50 
2 X MotoZ2 Play Glass,0.50 
2 X MotoZ2 Play Glass2,0.50 
2 X Note 8 Glass,0.59 
2 x Revvl Plus Glass,0.49 
2 X s8 Glass,0.60 
2 X s8 Plus Glass,0.60 
2 X S9 Glass,0.60 
2 X s9 Plus Glass,0.60 
2 X zte z982 glass,0.49 
2X I7 Glass,0.35 
2x I8 Plus Glass,0.35 
2X IP 6s Glass,0.35 
2X IP 6s Plus Glass,0.31 
2X IP 7 Glass,0.31 
2X IP 7 Glass Black,0.50 
2X IP 7 Glass Gold,0.50 
2X IP 7 Glass Red,0.50 
2X IP 7 Glass RGold,0.50 
